member_id,paper_taxon_concept,core_min_primary,core_recommended_primary,population_rule,regional_design,existing_reference_class,identity_gate,acquisition_route,linked_measurements,priority_status,replacement_rule,source_basis
JPN_11,"Cirsium ishizuchiense (Kitam.) Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_12,"Cirsium japonicum Fisch. ex DC. var. horridum Nakai",3,3,"3 independent wild individuals; exact variety diagnosis mandatory","Japan; exact population pending exact-variety concept confirmation","direct_Japan_sample_or_public_locality","BROAD_TREE_CODE_VERSUS_VARIETY_CONCEPT_GATE","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_13,"Cirsium kasaianum Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_14,"Cirsium kiotoense (Kitam.) Kadota",3,3,"3 independent wild individuals; diagnostic voucher mandatory","Japan; exact population pending paper-concept and voucher confirmation","direct_Japan_sample_or_public_locality","INFORMAL_NCBI_IDENTIFIER_VOUCHER_CONFIRMATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_15,"Cirsium lineare (Thunb.) Sch.Bip.",16,24,"minimum 2 populations x 8; recommended 3 populations x 8","western Honshu/Yamaguchi, Shikoku and Kyushu populations where current occurrence is verified","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_TISSUE_PERMISSION_CONSERVATION_REVIEW","INVESTIGATOR_OR_CLOSE_COLLABORATOR_TARGETED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|gland_exudate_documentation|colour_photo|cytotype_status|leaf_DNA","P02_FOCAL_HIGH","NO_POST_OUTCOME_SUBSTITUTION","chapter3_sampling_priorities_v1.csv|JAPAN_RADSEQ_PHASE_A_SAMPLING_PLAN_2026-08-16.md"
JPN_16,"Cirsium magofukui Kitam.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_17,"Cirsium maritimum Makino",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_18,"Cirsium matsumurae Nakai var. dubium Kitam.",3,3,"3 independent wild individuals; exact variety diagnosis mandatory","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_VARIETY_CONFIRMATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_19,"Cirsium nippoense Kadota",3,3,"3 independent wild individuals; voucher tied to spelling reconciliation","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","NCBI_SPELLING_RECONCILIATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_20,"Cirsium nipponicum var. incomptum (Maxim.) Kadota",3,3,"3 new wild individuals; do not double-count the two Moreyra tree codes as two concepts","Japan; exact population must be frozen after concept reconciliation and current-occurrence review","direct_Japan_sample_or_public_locality","TWO_TREE_CODES_ONE_PAPER_CONCEPT_GATE","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_CONCEPT_COLLAPSE_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_21,"Cirsium nipponicum var. yoshinoi (Nakai) Kitam.",3,3,"3 independent wild individuals; exact concept diagnosis mandatory","Japan; exact population pending name reconciliation","direct_Japan_sample_or_public_locality","NCBI_NAME_CONFLICT_YUKI_UENOANUM","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_IDENTITY_CHECK","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_22,"Cirsium norikurense Nakai",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_23,"Cirsium oligophyllum Matsum.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_24,"Cirsium pseudosuffultum Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_25,"Cirsium shidokimontanum Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_26,"Cirsium spicatum Matsum.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_27,"Cirsium suzukaense Kitam.",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_28,"Cirsium uzenense Kadota",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_29,"Cirsium verutum (D.Don) Spreng.",3,3,"3 independent wild individuals only after taxon-concept gate passes","Japanese voucher evidence exists but taxon-concept contradiction remains; exact population is not frozen","direct_Japan_sample_or_public_locality","BLOCKED_TAXON_CONCEPT_IDENTITY_GATE","NO_COLLECTION_UNTIL_IDENTITY_GATE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_BLOCKED_IDENTITY","NO_CONVENIENCE_REPLACEMENT","moreyra2025_japan_38_membership_audit_2026-08-10.csv|japan38_jpn29_identity_geography_gate_v1.json"
JPN_30,"Cirsium yezoense (Maxim.) Makino",3,3,"3 independent wild individuals; >=2 populations preferred if feasible","Japan; exact population must be frozen after current-occurrence and authorization review","direct_Japan_sample_or_public_locality","CURRENT_OCCURRENCE_AND_AUTHORIZATION","DISTRIBUTED_COLLABORATOR_COLLECTION_PREFERRED","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR","NO_POST_OUTCOME_SUBSTITUTION","japan38_comp1061_concept_map_v1.csv|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_31,"Cirsium yuki-uenoanum Kadota",3,3,"target remains 3 wild Japanese individuals but collection is blocked until metadata identity conflict resolves","Japan concept versus Ukraine BioSample conflict; no clean Japanese population can be frozen yet","paper_japan_concept_metadata_conflict","BLOCKED_IDENTITY_GEOGRAPHY_RESOLUTION","NO_COLLECTION_UNTIL_IDENTITY_GATE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_BLOCKED_IDENTITY","NO_CONVENIENCE_REPLACEMENT","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_32,"Cirsium buergeri Miq.",3,3,"3 wild Japanese individuals; cultivated reference does not satisfy wild floor","source audit supports Honshu (Shiga and Yamaguchi) and Kyushu; freeze exact population pre-outcome after current verification","cultivated_Japanese_taxon","WILD_JAPAN_RESAMPLE_REQUIRED","TARGETED_WILD_JAPAN_RESAMPLE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_WILD_RESAMPLE_HIGH","NO_POST_OUTCOME_SUBSTITUTION","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_33,"Cirsium effusum Matsm.",3,3,"3 wild Japanese individuals only after name/voucher concept gate passes","Japanese garden provenance exists but historical C. effusum usage is taxonomically problematic; exact wild population not frozen","cultivated_Japanese_taxon_name_conflict","BLOCKED_NAME_VOUCHER_CONCEPT_RESOLUTION","NO_COLLECTION_UNTIL_IDENTITY_GATE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_BLOCKED_IDENTITY","NO_CONVENIENCE_REPLACEMENT","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_34,"Cirsium microspicatum Nakai",3,3,"3 wild Japanese individuals; cultivated reference does not satisfy wild floor","Honshu; exact population pending current-occurrence and authorization review","cultivated_Japanese_taxon","WILD_JAPAN_RESAMPLE_REQUIRED","TARGETED_WILD_JAPAN_RESAMPLE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_WILD_RESAMPLE_HIGH","NO_POST_OUTCOME_SUBSTITUTION","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_35,"Cirsium nipponicum Makino",3,3,"3 wild Japanese individuals; cultivated reference does not satisfy wild floor; cytotype explicit","northern Honshu (Aomori and Iwate); exact population pending current-occurrence and authorization review","cultivated_Japanese_taxon","WILD_JAPAN_RESAMPLE_REQUIRED","TARGETED_WILD_JAPAN_RESAMPLE","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_WILD_RESAMPLE_HIGH_PLOIDY_AWARE","NO_POST_OUTCOME_SUBSTITUTION","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_36,"Cirsium sieboldii Miq.",30,40,"minimum 3 populations x 10; recommended 4 populations x 10; capture observed morph diversity without post-outcome reallocation","wild Honshu/Shikoku wetland populations; exact sites frozen pre-outcome after occurrence/authorization review","cultivated_Japanese_taxon","WILD_JAPAN_RESAMPLE_AND_P01_POPULATION_REPLICATION","INVESTIGATOR_OR_CLOSE_COLLABORATOR_TARGETED","voucher_or_diagnostic_image|orientation|phyllary|phyllary_access_gap|stickiness|colour_photo|cytotype_status|leaf_DNA","P01_FOCAL_VERY_HIGH","NO_POST_OUTCOME_SUBSTITUTION","chapter3_sampling_priorities_v1.csv|JAPAN_RADSEQ_PHASE_A_SAMPLING_PLAN_2026-08-16.md|moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_37,"Cirsium kamtschaticum Ledeb. ex DC.",3,3,"3 wild Japanese individuals; Russian reference does not satisfy Japanese floor","Hokkaido Japanese population required; exact population pending current-occurrence and authorization review","Japanese_distributed_taxon_sampled_outside_Japan","WILD_JAPAN_RESAMPLE_REQUIRED","TARGETED_WILD_JAPAN_RESAMPLE_OR_COLLABORATOR","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_WILD_RESAMPLE_HIGH","NO_POST_OUTCOME_SUBSTITUTION","moreyra2025_japan_38_membership_audit_2026-08-10.csv"
JPN_38,"Cirsium pendulum Fisch. ex. DC.",3,3,"3 wild Japanese individuals for breadth floor; any colour-morph population study is a separate expansion","Japanese range includes northern Honshu and Hokkaido in source audit; exact population pending current-occurrence and authorization review","Japanese_distributed_taxon_sampled_outside_Japan","WILD_JAPAN_RESAMPLE_REQUIRED","TARGETED_WILD_JAPAN_RESAMPLE_OR_COLLABORATOR","voucher_or_diagnostic_image|orientation|phyllary|stickiness|colour_photo|cytotype_status|leaf_DNA","BREADTH_FLOOR_WILD_RESAMPLE_HIGH","NO_POST_OUTCOME_SUBSTITUTION","moreyra2025_japan_38_membership_audit_2026-08-10.csv|JAPAN_RADSEQ_PHASE_A_SAMPLING_PLAN_2026-08-16.md"
