priority,taxon,region_or_stratum,nmns_orientation,current_nuclear_status,primary_reason,backbone_target_capture_minimum,population_RADseq_role,cytotype_priority,collection_note
P1,Cirsium calcicola,Akiyoshidai_limestone,upward_or_erect,not_in_Moreyra38,"western limestone endemic and upward state; geographic/substrate anchor",2_individuals,none_initially,high,"use low-impact collection if local population is restricted"
P1,Cirsium muratae,Kyoto_Hyogo,downward_or_nodding,not_in_Moreyra38,"Kinki downward lineage from a different NMNS subsection; orientation/geography anchor",2_individuals_from_2_localities,none_initially,high,"provisional/new-name status requires voucher verification"
P1,Cirsium ashiuense,Kyoto_Shiga,downward_or_nodding,not_in_Moreyra38,"Kinki downward lineage; useful for local radiation and conservation-aware sampling",2_individuals_or_herbarium_DNA,none_initially,high,"NMNS notes loss from former Ashiu locality; verify extant population before field collection"
P1,Cirsium yamaguchiense,Yamaguchi_Hiroshima,downward_or_nodding,not_in_Moreyra38,"western Honshu downward lineage from Tsukushiazami subsection",2_individuals_from_2_localities,none_initially,high,"provisional/new-name status requires voucher verification"
P1,Cirsium mitanii,Shikoku,upward_or_erect,not_in_Moreyra38,"Shikoku upward lineage from Nippouazami subsection; balances western downward taxa",2_individuals_from_2_localities,none_initially,high,"provisional/new-name status requires voucher verification"
P2,Cirsium alpicola,South_Hokkaido_Aomori,upward_or_erect,Moreyra_direct_Japan,"wild replicate/cytotype anchor for northern orientation; already adequate for initial species placement",2_wild_representatives_if_material_available,optional_north_south,high,"NMNS reports 6x; do not displace missing northern taxa"
P2,Cirsium aomorense,Hokkaido_to_Aomori_Akita,upward_or_erect,Moreyra_direct_Japan,"broad northward upward lineage with documented Hokkaido-vs-Tohoku growth difference and white morph",2_populations_Hokkaido_and_Tohoku,optional_high_value_within_species,high,"use same individuals for white-morph and cytotype checks when present"
P2,Cirsium nipponicum,Aomori_Iwate,upward_or_erect,Moreyra_cultivated_Japan_taxon,"replace/replicate cultivated species-tree tip with clean wild northern material",2_wild_populations,optional,high,"exact current taxon concept important; NMNS distinguishes this from traditional Nambuazami usage"
P2,Cirsium kamtschaticum,Hokkaido_Kurils,downward_or_nodding,Moreyra_direct_Japan,"continental-shared northern lineage and parent in Rishiri contact-zone comparison",2_wild_populations_if_needed,optional_contact_zone,high,"NMNS reports 4x; retain as separate from local Hokkaido endemics"
P2,Cirsium yezoense,Hokkaido_to_Honshu_JapanSea,downward_or_nodding,Moreyra_direct_Japan,"broad north-south downward lineage for within-species geographic consistency",2_populations_Hokkaido_and_Honshu,optional_high_value_within_species,high,"NMNS reports diploid 2n=34"
CORE,Cirsium brevicaule,Central_Ryukyu,upward_or_erect,current_core_and_public_transcriptome,"retain as Ryukyu white focal lineage; no extra broad taxon sampling needed beyond core",2_target_capture_representatives_from_core_for_common_backbone,yes_4x15_core,high,"do not reduce core population replication"
CORE,Cirsium irumtiense,Southern_Ryukyu,upward_or_erect,current_core_and_public_transcriptome,"retain as Ryukyu coloured focal lineage; no extra broad taxon sampling needed beyond core",2_target_capture_representatives_from_core_for_common_backbone,yes_4x15_core,high,"do not reduce core population replication"
CORE,Cirsium pendulum,Northern_eastern_Japan,downward_or_nodding,current_core_plus_Moreyra,"retain W/C within-species transition system and northern orientation lineage",representatives_from_existing_core,yes_4x10_core,high,"no extra taxon-level sample until P009-P012 populations are verified"
CORE,Cirsium sieboldii,Honshu_Shikoku_wetlands,downward_or_nodding,current_core_plus_Moreyra_cultivated_tip,"replace cultivated backbone context using wild core material and retain W/C polymorphism",2_target_capture_representatives_from_verified_wild_core,yes_2x15_core,high,"white population remains conditional until verified"
